,uuid,user_name,text_clean,mentions_name
566572,1060709368129130576, nyx ,Rowow post another yt vid,
566573,1060709417970045019, desperate enuf ,no such thing,['Rowow']
566574,1060709468507218031, towelie ,I FOUND A FREN,['1THC']
566575,1060709514405478400, The Sleazy Car Salesman ,Has the house finally elected a speaker or no ,
566576,1060709548710711358, Rowow ,I have one qued for monday,[' nyx']
566577,1060709597268156486, Ramsey The Cat ,What,['m4rt14n']
566578,1060709621897113600, I Can t Believe It s Not Butter ,meow,
566579,1060709640976994395, desperate enuf ,no,['The Sleazy Car Salesman']
566580,1060709665127792723, desperate enuf ,11th vote now,
566581,1060709680999051374, towelie ,Yeah Trump,['The Sleazy Car Salesman']
566582,1060709681175208037, desperate enuf ,going to 12th,
566583,1060709681426858016, nyx ,How long hmmnote ,['Rowow']
566584,1060709720257724436, The Sleazy Car Salesman ,how s the 11th ballot going ,
566585,1060709761030574200, towelie ,11 more closer to 166,['The Sleazy Car Salesman']
566586,1060709761236078622, Rowow ,15 minuites ,[' nyx']
566587,1060709766919368745, Rowow ,I forgot,
566588,1060709860368449649, Rowow ,sorry just 9 minuites ,[' nyx']
566589,1060709867280683118, coolbeans ,my gold is going to become useful ,
566590,1060709871948939354, Swolsby ,issa joke,['       ']
566591,1060709912684019812, Rowow ,gold is a scam,['coolbeans']
566592,1060709923618566274, NickJ ,rookie gotta get it over 10,['Rowow']
566593,1060709934876082266, Rowow ,no one is gonna trade in gold coins,
566594,1060709938017603736, Fuckboy ,yungin s balance is 1 001 317 WSBux,
566595,1060709943742828575, towelie ,Im not upvoting for the soul purpose of ruining a perfect number,
566596,1060709950852177990, towelie ,,
566597,1060709975309164574, Rowow ,everyone was bitching my videos were too long,['NickJ']
566598,1060709984964460624, Rowow , REEEE ,
566599,1060710025762455703, nyx ,You need 10min for monetization.,['Rowow']
566600,1060710034419486871, coolbeans ,it doesn t matter gold is a universal commodity,['Rowow']
566601,1060710038043377685, NickJ ,10 is ideal for monetization I believe,['Rowow']
566602,1060710059740512346, desperate enuf ,7 10 is the sweet spot for algo,['Rowow']
566603,1060710072499580969, Rowow ,I need 2000 watch hours for monetization brainlet ,
566604,1060710110701305946, xLucifer , ,
566605,1060710110973923348, Rowow ,and 100 subs,
566606,1060710135544168448, towelie , kekw ,
566607,1060710156675063909, NickJ ,we ll fix that right up,
566608,1060710157547479120, Rowow ,,
566609,1060710274291744768, RighteousandWrath22 ,So what you re saying is people here could play your videos over and over to help boost you ,['Rowow']
566610,1060710275654877324, nyx ,Wait so no matter views you need 100 subs ,
566611,1060710285578608801, Dashie ,I have a boner,
566612,1060710289202483280, towelie ,there was a sp eech too ,['xLucifer    ']
566613,1060710382420902029, mushu ,Google probably has algorithms that detect that,['RighteousandWrath22']
566614,1060710426230403193, towelie ,IM SO EXCITED,
566615,1060710432320536576, NickJ ,absolutely not lmao,['mushu']
566616,1060710435470442637, towelie ,LETS FUCKING GO,
566617,1060710462490161302, Rowow , pogU ,['RighteousandWrath22']
566618,1060710467057754112, RighteousandWrath22 ,Google is just like slushy. Big gay.,['mushu']
566619,1060710480408215572, mushu ,They did for adsense,['NickJ']
566620,1060710482446663761, Rowow ,technically yeah lol,
